ID,대상,도메인,be,fe,우선순위,제목,요구사항,근거,단계
SES-001,사용자,세션,1,1,1순위,세션 생성,"사용자는 새로운 대화 세션을 생성할 수 있어야 한다.","Session 도메인 모델",MVP
SES-002,사용자,세션,1,1,1순위,세션 목록 조회,"사용자는 자신의 세션 목록을 조회할 수 있어야 한다.","세션 생성/조회 요구",MVP
SES-003,사용자,세션,1,1,1순위,세션 상세 진입,"사용자는 특정 세션을 선택해 해당 세션의 run 이력과 결과를 볼 수 있어야 한다.","웹 기반 대화형 실행기 방향",MVP
SES-004,사용자,세션,,1,2순위,최근 세션 우선 표시,"사용자는 최근 활동한 세션을 우선적으로 볼 수 있어야 한다.","사용자 편의성",Phase2
SES-005,운영자,세션,1,,2순위,세션 상태 점검,"운영자는 세션별 최근 활동 시각과 누적 run 수를 확인할 수 있어야 한다.","운영 점검 필요",Phase2
RUN-001,사용자,실행,1,1,1순위,run 생성,"사용자 요청 1회마다 새로운 run이 생성되어야 한다.","Run 도메인 모델",MVP
RUN-002,사용자,실행,1,1,1순위,run 상태 조회,"사용자는 runId 기준 현재 상태를 조회할 수 있어야 한다.","GET /runs/{runId} 최소 구조",MVP
RUN-003,사용자,실행,1,1,1순위,run 최종 결과 조회,"사용자는 완료된 run의 최종 응답을 다시 조회할 수 있어야 한다.","최종 응답과 실행 로그 저장",MVP
RUN-004,사용자,실행,1,,1순위,run 상태 저장,"시스템은 run 상태를 QUEUED, RUNNING, WAITING_APPROVAL, SUCCEEDED, FAILED, CANCELLED로 저장해야 한다.","Run 상태 모델",MVP
RUN-005,사용자,실행,1,,1순위,run 상태 전이 처리,"시스템은 실행 흐름에 따라 run 상태를 올바르게 전이해야 한다.","상태 전이 규칙 필요",MVP
RUN-006,사용자,실행,1,1,2순위,run 재실행,"사용자는 이전 run을 다시 실행할 수 있어야 한다.","Phase2 기능 범위",Phase2
RUN-007,운영자,실행,1,,2순위,실패 run 재처리 지원,"운영자는 실패한 run을 재검토하고 재시도할 수 있어야 한다.","운영 재처리 요구",Phase2
RUN-008,운영자,실행,1,,2순위,run 취소,"운영자는 장시간 실행 중인 run을 취소할 수 있어야 한다.","명령 계층 초안",Phase2
RUN-009,사용자,실행,,1,2순위,run 진행률 요약 표시,"사용자는 run의 현재 상태와 마지막 활동 시각을 화면에서 볼 수 있어야 한다.","Runtime State Snapshot",MVP
RUN-010,운영자,실행,1,,3순위,run 우선순위 제어,"운영자는 특정 run의 실행 우선순위를 조정할 수 있어야 한다.","운영 확장성",Phase3
REQ-001,사용자,입력,,1,1순위,자연어 요청 입력,"사용자는 웹 화면에서 자연어 요청을 입력할 수 있어야 한다.","제품 방향",MVP
REQ-002,사용자,입력,,1,1순위,요청 전송 피드백,"사용자는 요청 전송 직후 run 생성 여부를 즉시 확인할 수 있어야 한다.","run 생성 즉시 반영",MVP
REQ-003,사용자,입력,,1,2순위,긴 요청 입력 지원,"사용자는 긴 텍스트 입력도 문제없이 전송할 수 있어야 한다.","자연어 정리 요청 시나리오",Phase2
REQ-004,사용자,입력,1,1,2순위,입력 유효성 검증,"시스템은 비어 있는 요청 또는 잘못된 입력을 검증해야 한다.","기본 안정성",MVP
ORC-001,사용자,오케스트레이션,1,,1순위,단일 orchestrator 기반 실행,"시스템은 단일 AgentOrchestrator를 중심으로 요청을 실행해야 한다.","Hermes의 run_agent.py 해석",MVP
ORC-002,사용자,오케스트레이션,1,,1순위,prompt 조립,"시스템은 system prompt와 현재 문맥을 조립해 모델 호출 입력을 구성해야 한다.","Hermes prompt 조립 구조",MVP
ORC-003,사용자,오케스트레이션,1,,1순위,모델 호출 loop,"시스템은 한 요청 안에서 모델 호출과 tool 호출을 반복하는 loop를 지원해야 한다.","Hermes tool-calling loop",MVP
ORC-004,사용자,오케스트레이션,1,,1순위,종료 조건 판단,"시스템은 충분한 결과가 얻어지면 run을 종료해야 한다.","AgentOrchestrator 역할",MVP
ORC-005,사용자,오케스트레이션,1,,2순위,실패 지점 재시도,"시스템은 특정 실패 지점에서 제한된 재시도를 수행할 수 있어야 한다.","Phase2 기능 범위",Phase2
ORC-006,운영자,설정,1,,2순위,실행 정책 변경 가능,"운영자는 loop 제한, timeout 등 실행 정책을 조정할 수 있어야 한다.","운영 제어 필요",Phase2
TOOL-001,사용자,도구,1,,1순위,tool registry 구성,"시스템은 사용 가능한 tool 목록을 registry로 관리해야 한다.","Hermes registry 구조",MVP
